"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000189143",156.85334685525,0.167988176066106,0.203571014310238,0.82520675468117,0.409254219228267,0.775223328397073
"ENSG00000287865",44.0620188004419,-0.293523762998646,0.355560721614856,-0.825523588954214,0.409074396117131,0.775223328397073
"ENSG00000123131",3642.44828925951,0.0626441528826331,0.0758953762686836,0.825401440278275,0.409143717500689,0.775223328397073
"ENSG00000213563",68.1413918785155,-0.233765267451419,0.283076262347679,-0.825803144045699,0.408915770307611,0.775223328397073
"ENSG00000198569",37.5405387206576,-0.321227845965456,0.388787265130003,-0.826230370117817,0.408673423420048,0.775223328397073
"ENSG00000089220",3931.41032160641,-0.0577871013050719,0.0700248714636795,-0.825236806540157,0.40923716091484,0.775223328397073
"ENSG00000150459",3368.34997485319,-0.0550151201034628,0.0665798918052996,-0.826302335611241,0.408632608922494,0.775223328397073
"ENSG00000259917",138.759401912073,0.188063639672446,0.227940597604452,0.825055482212933,0.409340092326277,0.775223328397073
"ENSG00000246922",48.482900326424,-0.304550959546035,0.368930075448012,-0.825497783492447,0.409089040558969,0.775223328397073
"ENSG00000268573",59.7865226939018,0.240648607418231,0.291463587193563,0.825655821145215,0.40899936005198,0.775223328397073
"ENSG00000142686",555.982247088732,0.112123633372819,0.135974390255839,0.824593757411638,0.409602266708457,0.775390638596586
"ENSG00000152942",446.499963556183,0.499084856360459,0.605219435124245,0.824634549711713,0.409579100197649,0.775390638596586
"ENSG00000230606",115.435374415521,-0.415783705807189,0.504292259537959,-0.824489565213905,0.409661442434237,0.775393526701448
"ENSG00000218336",88.3313981101948,0.260480061465305,0.316038040763883,0.824204772424577,0.409823215800124,0.775575949154857
"ENSG00000101489",58.3865529053491,-0.341226360275145,0.414050928434534,-0.824116882348923,0.409873148445556,0.775575949154857
"ENSG00000229980",41.6628946528757,-0.293555358959319,0.356295332473128,-0.823910200904636,0.409990583820267,0.775689035361176
"ENSG00000151553",222.697301185289,-0.145379877713593,0.176596100408871,-0.823233793821024,0.410375054800973,0.776162936686677
"ENSG00000225422",52.0078455406006,0.260837774443755,0.316871810512906,0.823164970154803,0.410414186298561,0.776162936686677
"ENSG00000184470",1163.50631985537,-0.094007219414905,0.114183687566485,-0.823298155966175,0.410338462024139,0.776162936686677
"ENSG00000119004",88.4669419647988,-0.211272220222021,0.256718772516296,-0.82297144907317,0.410524229657858,0.776261899184338
"ENSG00000143437",2290.91085733537,-0.0532248180535177,0.0647068505650765,-0.822553061827493,0.410762200275133,0.776442615071364
"ENSG00000037749",458.937803031946,0.0935476821933721,0.113778034692101,0.822194568982715,0.410966169270858,0.776442615071364
"ENSG00000124783",5300.50035636966,0.0444426969742553,0.0540500177009424,0.822251293610222,0.410933891078696,0.776442615071364
"ENSG00000159069",2458.66934357923,0.058851491950612,0.0715621235011936,0.822383253476686,0.410858807368103,0.776442615071364
"ENSG00000225137",88.6628564751216,0.224323324811902,0.272745794250454,0.822463002329243,0.410813435099252,0.776442615071364
"ENSG00000168661",122.221683379781,0.203654292854334,0.247685465108917,0.822229486759666,0.410946299720926,0.776442615071364
"ENSG00000128699",149.158684100178,0.158203872745584,0.192464223374883,0.821991069152803,0.411081979803248,0.776474718889394
"ENSG00000267080",230.137830654817,0.132421298747268,0.161103951896993,0.821961827677172,0.411098622543597,0.776474718889394
"ENSG00000219607",71.7430071926092,0.270957447101956,0.329825945245009,0.821516472576703,0.411352145143812,0.776832910282812
"ENSG00000168522",639.763992399763,0.102790377067598,0.125136534938064,0.821425789985906,0.411403778434533,0.776832910282812
"ENSG00000185010",64.1682218960167,-0.253185368016349,0.308272101061176,-0.821304837981772,0.411472652656046,0.776853899245342
"ENSG00000074527",394.388407118154,-0.100096807357819,0.121948552298228,-0.820811772435234,0.411753491892519,0.777275012765528
"ENSG00000011258",460.583958087595,0.0920442242916212,0.112215846238595,0.820242660701549,0.412077786689632,0.777668897288557
"ENSG00000189120",94.0128574849362,0.256844033949785,0.313131715859669,0.820242795414854,0.412077709908538,0.777668897288557
"ENSG00000135956",1442.74291073298,0.0634351561882906,0.0774109951566911,0.819459252007917,0.412524441188307,0.777966340232687
"ENSG00000205464",135.187272029813,0.18292842788596,0.223267365444549,0.819324523858335,0.412601284324795,0.777966340232687
"ENSG00000147872",449.076078287732,0.128657610756011,0.157010169574718,0.81942215019891,0.412545601616542,0.777966340232687
"ENSG00000187239",3087.60892522753,0.0942643396557044,0.115043165564541,0.819382352642412,0.41256830023674,0.777966340232687
"ENSG00000166682",60.2229734771228,-0.275529305041835,0.336316433708859,-0.819256145182467,0.412640287823047,0.777966340232687
"ENSG00000165502",7572.6966431802,-0.0902023676883985,0.11006912968647,-0.819506504188215,0.412497492588243,0.777966340232687
"ENSG00000181827",874.537035164462,0.0840315299591866,0.102549682114155,0.819422627421168,0.412545329436313,0.777966340232687
"ENSG00000235750",425.228787426723,-0.118999541176499,0.145433360680492,-0.818241018564739,0.413219577491419,0.777967989538016
"ENSG00000018510",2221.06653462141,-0.0681112325532432,0.0831857696614238,-0.818784665099141,0.412909281612656,0.777967989538016
"ENSG00000239388",46.0484823185904,0.286985012615066,0.350381435462202,0.819064549571504,0.412749586442848,0.777967989538016
"ENSG00000147121",259.176429689583,0.119416816673416,0.145908529114034,0.818436162700853,0.413108179636968,0.777967989538016
"ENSG00000147874",1249.45265103914,0.072924945918632,0.0891120231504795,0.818351366520844,0.413156583274426,0.777967989538016
"ENSG00000255553",868.062537417901,-0.113461726842934,0.138626853695805,-0.818468599827769,0.413089664656556,0.777967989538016
"ENSG00000008323",57.0568875736288,0.278164693190641,0.33975392430477,0.818724003732531,0.412943898316938,0.777967989538016
"ENSG00000272763",203.220080943201,0.179866520635316,0.219793992564865,0.818341386570126,0.413162280284014,0.777967989538016
"ENSG00000105063",4853.53774403471,-0.0600663678631588,0.0733574972302895,-0.81881702799366,0.412890814272595,0.777967989538016
"ENSG00000099783",25829.7055065453,0.0489271597041122,0.05975833006927,0.818750451148774,0.412928805758668,0.777967989538016
"ENSG00000065526",9829.83155491631,0.0768204808151673,0.0940046341148882,0.817198870443778,0.413814787941954,0.778217127771152
"ENSG00000115307",2633.8179805345,0.0621782670522978,0.0760676242226504,0.817407769569636,0.413695437056425,0.778217127771152
"ENSG00000286058",40.1581582105546,0.771093516922533,0.942883674696698,0.817803444492317,0.413469430919672,0.778217127771152
"ENSG00000123545",143.008013465062,0.159702094917788,0.195384549287254,0.817373203256694,0.413715184511717,0.778217127771152
"ENSG00000246451",36.065677910769,0.351341345931003,0.429927560108599,0.817210568781063,0.413808103761624,0.778217127771152
"ENSG00000287809",38.0631289333165,0.776558616463162,0.949960875059544,0.817463789142355,0.413663434712008,0.778217127771152
"ENSG00000131941",660.060180139463,-0.0814143239477649,0.0995994159994621,-0.817417683937069,0.413689773161384,0.778217127771152
"ENSG00000286129",49.2691713668659,0.291589135841703,0.356630061423533,0.817623547150759,0.413572177680675,0.778217127771152
"ENSG00000144231",1506.43790978976,-0.0763125950044273,0.0934413989226267,-0.816689346310165,0.414105981159437,0.77843821755338
"ENSG00000047597",255.2581421095,-0.129924506325254,0.159071869644212,-0.816766073196028,0.414062123966033,0.77843821755338
"ENSG00000037042",826.002147960805,-0.0715150277636883,0.0875637151801364,-0.816719889243705,0.414088522447389,0.77843821755338
"ENSG00000124574",177.783042622807,0.142077429797611,0.17403974728545,0.816350471737839,0.414299715203307,0.778584765891362
"ENSG00000277142",57.6937239985626,0.648004762006424,0.79378131231119,0.816351748215992,0.414298985342236,0.778584765891362
"ENSG00000246889",44.5727950358103,1.18101251776996,1.44695676626836,0.816204426629648,0.414383225483824,0.778632911812997
"ENSG00000164099",60.2264380974563,0.348294246302288,0.42685831519273,0.815948135261301,0.414529799913692,0.778757024888455
"ENSG00000228335",37.364011592455,0.328192830362096,0.402253067275014,0.815886458207454,0.414565077933185,0.778757024888455
"ENSG00000101138",1145.53887811793,-0.0737023903121929,0.090371407840273,-0.815549874385693,0.414757628306542,0.779009928881859
"ENSG00000170234",512.962804283359,-0.10060039542341,0.123407648958409,-0.815187683036684,0.414964887091943,0.779049135003763
"ENSG00000136271",2095.33018062412,0.0630131983978227,0.0773081617421125,0.815091149211703,0.415020137513934,0.779049135003763
"ENSG00000196118",101.522327427974,-0.183307829010612,0.224882673316616,-0.815126511558898,0.414999897631008,0.779049135003763
"ENSG00000126453",419.741077946561,-0.0958814497130063,0.11764489180086,-0.815007334745202,0.415068111631001,0.779049135003763
"ENSG00000215386",59.2372479749788,-0.254683398859554,0.312351179125592,-0.815375179861733,0.4148575870916,0.779049135003763
"ENSG00000138085",187.08044632856,0.142587566801829,0.175017999995506,0.814702298080713,0.415242737612987,0.779080691341792
"ENSG00000115425",238.696226836943,-0.153654147270506,0.18864316895139,-0.814522720990232,0.415345561374118,0.779080691341792
"ENSG00000104763",1079.26195673617,-0.0820281108799341,0.100713223028651,-0.814472106176155,0.41537454554736,0.779080691341792
"ENSG00000215041",622.307814878988,0.565707107073694,0.69437942144576,0.81469451657401,0.415247192901779,0.779080691341792
"ENSG00000167720",140.419855059931,-0.164811398721194,0.202334746143686,-0.814548177524365,0.415330984342659,0.779080691341792
"ENSG00000172006",57.7747627310345,-0.256316604704966,0.314900284237695,-0.81396117290098,0.415667194354703,0.779412207454447
"ENSG00000130309",2896.50633697683,-0.062662405694161,0.0769807401085118,-0.814001081385192,0.415644331467543,0.779412207454447
"ENSG00000223478",174.34418324256,-0.178754209158323,0.219706575156992,-0.813604276661243,0.415871687116153,0.779686951730173
"ENSG00000222011",89.9053883184651,-0.240765319969204,0.296059151747471,-0.813233837049461,0.416084002707187,0.77975892941503
